"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSPregnancyHistory","EHDSPregnancyHistory","","","",0,*,"","","","null {[]} {[]}
","Pregnancy history model","EHDSPregnancyHistory means a structured set of data elements describing a single past pregnancy.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSPregnancyHistory.header","EHDSPregnancyHistory.header","","","",1,1,"","","","Base {[]} {[]}
","Basic metadata for this information.","Basic metadata for this information.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSPregnancyHistory.header.subject","EHDSPregnancyHistory.header.subject","","","",1,1,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","Patient/subject information.","Patient/subject information.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSPregnancyHistory.header.identifier","EHDSPregnancyHistory.header.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier assigned to the resource or document (not a patient ID and not the technical resource ID).","Business identifier assigned to the resource or document (not a patient ID and not the technical resource ID).","Business identifier is unique within the system that assigns them. The same entity may have different unique identifiers assigned by different systems. Therefore, the identifier is always expected to be a pair of a system and a value.","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSPregnancyHistory.header.author[x]","EHDSPregnancyHistory.header.author[x]","","","",0,*,"","","","http://ehds.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://ehds.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}http://ehds.eu/fhir/models/StructureDefinition/EHDSRelatedPerson {[]} {[]}","Author of the resource.","The author of this observation.","Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.author[x]",0,*,"",""
"EHDSPregnancyHistory.header.patientInsertedData","EHDSPregnancyHistory.header.patientInsertedData","","","",0,1,"","","","boolean {[]} {[]}
","Indicator that states, when included with value ‘true’, that the contents of this resource represent information inserted by the natural person or their representative. In this case, the contents shall not be considered as verified by a health professional or a healthcare provider, even if digitally signed by them as part of a bigger data set. Details of the person who inserted the information may be provided in the author[x] element.","Indicator that states, when included with value ‘true’, that the contents of this resource represent information inserted by the natural person or their representative. In this case, the contents shall not be considered as verified by a health professional or a healthcare provider, even if digitally signed by them as part of a bigger data set. Details of the person who inserted the information may be provided in the author[x] element.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.patientInsertedData",0,1,"",""
"EHDSPregnancyHistory.header.date","EHDSPregnancyHistory.header.date","","","",0,1,"","","","dateTime {[]} {[]}
","Date and optionally time of authoring/issuing.","Date and optionally time of authoring/issuing.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.date",0,1,"",""
"EHDSPregnancyHistory.header.status","EHDSPregnancyHistory.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of this observation.","Status of this observation.","","","","","","","","","",,"required","HL7 Observation Status","","",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSPregnancyHistory.header.language","EHDSPregnancyHistory.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language in which the resource is written. Language is expressed by the IETF language tag.","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"required","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSPregnancyHistory.endDate","EHDSPregnancyHistory.endDate","","","",0,1,"","","","dateTime {[]} {[]}
","The end date of the pregnancy.","The end date of the pregnancy.","","","","","","","","","",,,,,"",,,,"EHDSPregnancyHistory.endDate",0,1,"",""
"EHDSPregnancyHistory.outcome","EHDSPregnancyHistory.outcome","","","",0,1,"","","","CodeableConcept {[]} {[]}
","The outcome of the pregnancy.","The outcome of the pregnancy.","","","","","","","","","",,"required","SNOMED CT","","",,,,"EHDSPregnancyHistory.outcome",0,1,"",""
"EHDSPregnancyHistory.note","EHDSPregnancyHistory.note","","","",0,1,"","","","string {[]} {[]}
","Free text notes by the health professional.","Free text notes by the health professional.","","","","","","","","","",,,,,"",,,,"EHDSPregnancyHistory.note",0,1,"",""
